Key ID,CMIS Name,Page,Byte,Byte Length,Mask Bytes,Bank Scope,Value Type,Unit,Scale,Byte Order,Conversion Note,Access,Behavior,Requirement,Condition,Description,Reference Section,Reference Table,SONiC Cross-check,SONiC Field
CustomMonLowAlarmFlag,CustomMonLowAlarmFlag,,11,1,0x20,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Vendor Defined Monitor alarm,,8-9,SONiC wider,ModuleFlagByte3
CustomMonHighAlarmFlag,CustomMonHighAlarmFlag,,11,1,0x10,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Vendor Defined Monitor alarm,,8-9,SONiC wider,ModuleFlagByte3
Aux3MonLowWarningFlag,Aux3MonLowWarningFlag,,11,1,0x08,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 3 monitor warning,,8-9,SONiC wider,ModuleFlagByte3
Aux3MonHighWarningFlag,Aux3MonHighWarningFlag,,11,1,0x04,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 3 monitor warning,,8-9,SONiC wider,ModuleFlagByte3
Aux3MonLowAlarmFlag,Aux3MonLowAlarmFlag,,11,1,0x02,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 3 monitor alarm,,8-9,SONiC wider,ModuleFlagByte3
Aux3MonHighAlarmFlag,Aux3MonHighAlarmFlag,,11,1,0x01,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 3 monitor alarm,,8-9,SONiC wider,ModuleFlagByte3
Reserved.Lwr.12,Reserved,,12,1,,,,,,,,,,,,Reserved[1],,8-9,Not in SONiC,
Reserved.Lwr.13,Reserved,,13,1,,,,,,,,,,,,Custom[1],,8-9,Not in SONiC,
TempMonValue,TempMonValue,,14,2,,,s16,degC,0.00390625,Big-endian,,RO,Normal,Adv,,S16 Module Temperature Monitor (Current Value) i nternally measured temperature in 1/256 degree Celsius increments,,8-10,Agrees,Temperature
VccMonVoltage,VccMonVoltage,,16,2,,,u16,uV,100,Big-endian,,RO,Normal,Adv,,U16 Supply Voltage Monitor (Current Value) internally measured input supply voltage in 100 µV increments,,8-10,Agrees,Voltage
Aux1MonValue,Aux1MonValue,,18,2,,,s16,,,Big-endian,"Depends on 01h:145.0: 0b = custom; 1b = TEC current, 100/32767 % of maximum TEC current per LSB (+ heating, - cooling)",RO,Normal,Adv,,"S16 Aux1 Monitor (see Table 8-49) (Current Value) The monitored observable is advertised in 01h:145.0: 0b: Custom 1b: TEC Current in 100%/32767 increments of maximum TEC current magnitude, i.e. of the larger of the heating or cooling current magnitudes +32767 (100%) of the max current magnitude when heating -32767 is -100% of the max current magnitude when cooling",,8-10,Agrees,Aux1MonValue
Aux2MonValue,Aux2MonValue,,20,2,,,s16,,,Big-endian,"Depends on 01h:145.1: 0b = laser temperature, 1/256 degC per LSB; 1b = TEC current, 100/32767 % of maximum TEC current per LSB",RO,Normal,Adv,,"S16 Aux2 Monitor (see Table 8-49) (Current Value) The monitored observable is advertised in 01h:145.1: 0b: Laser Temperature: in 1/256 degree Celsius increments 1b: TEC Current in 100%/32767 increments of maximum TEC current magnitude, i.e. of the larger of the heating or cooling current magnitudes +32767 (100%) of the max current magnitude when heating -32767 is -100% of the max current magnitude when cooling",,8-10,Agrees,Aux2MonValue
Aux3MonValue,Aux3MonValue,,22,2,,,s16,,,Big-endian,"Depends on 01h:145.2: 0b = laser temperature, 1/256 degC per LSB; 1b = additional supply voltage, 100 uV per LSB",RO,Normal,Adv,,S16 Aux3 Monitor (see Table 8-49) (Current Value) The monitored observable is advertised in 01h:145.2: 0b: Laser Temperature: in 1/256 degree Celsius increments 1b: Additional Supply Voltage: in 100 µV increments,,8-10,Agrees,Aux3MonValue
CustomMonValue,CustomMonValue,,24,2,,,s16|u16,,,Big-endian,"Custom monitor: S16 or U16, units defined by the vendor",RO,Normal,Adv,,S 16 or U16: Custom monitor (Current Value),,8-10,Agrees,CustomMonValue
BankBroadcastEnable,BankBroadcastEnable,,26,1,0x80,,bool,,,,,RW,Normal,Adv,,"0b: Bank broadcast for lane-banked pages disabled 1b: Bank broadcast for lane-banked pages enabled When BankBroadcastEnable is set, a WRITE to a control register (i.e. to a register with RW or WO access) in any bank of a lane-banked page is executed as a bank broadcast. Recall that a banked page is lane-banked if banking is used to add support for additional lanes. A bank broadcast is a virtually simultaneous and atomic WRITE of the same value to the same register and the same page, in all supported banks. The module ensures a generalized broadcast register readback condition (see section 5.2.4), such that a READ from any supported bank for the same page and register always yields the value written in the broadcasted WRITE. Advertisement: 01h:156.7",,8-11,SONiC wider,ModuleControl
LowPwrAllowRequestHW,LowPwrAllowRequestHW,,26,1,0x40,,bool,,,,,RW,Normal,Rqd,,"Enables evaluation of the LowPwrRequestHW hardware signal 0b: Module ignores the LowPwrRequestHW signal 1b: Module evaluates the LowPwrRequestHW signal (default) Note: See Table 6-12 and section 6.3.2.2 for more information Note: As LowPwrRequestSW is cleared by default, evaluation of LowPwrRequestHW is enabled by default, allowing the host to request start-up to halt in Low Power mode.",,8-11,SONiC wider,ModuleControl
SquelchMethodSelect,SquelchMethodSelect,,26,1,0x20,,bool,,,,,RW,Normal,Adv,,0b: Squelching of Tx output reduces OMA 1b: Squelching of Tx output reduces P Advertisement: 00h:156.5-4 Note: Method to choose depends on interface standard used. See Table 8-50 for SquelchMethodSelect capability advertising.,,8-11,SONiC wider,ModuleControl
LowPwrRequestSW,LowPwrRequestSW,,26,1,0x10,,bool,,,,,RW,Normal,Rqd,,"0b: No request 1b: Request for the module to stay in, or to return into, Low Power mode Note: See Table 6-12 and section 6.3.2.4 for more information",,8-11,SONiC wider,ModuleControl
SoftwareReset,SoftwareReset,,26,1,0x08,,bool,,,,,WO,SelfClearing,Rqd,,"Self-clearing trigger bit that causes the module to be reset when 1b is written to it. The effect of a SoftwareReset trigger is the same as asserting the Reset hardware signal for the appropriate hold time, followed by its de-assertion. 0b: No action 1b: Software reset",,8-11,SONiC wider,ModuleControl
Reserved.Lwr.26,Reserved,,26,1,0x07,,,,,,,,,,,Custom,,8-11,SONiC wider,ModuleControl
Reserved.Lwr.27,Reserved,,27,1,0xF0,,,,,,,,,,,Reserved,,8-11,Not in SONiC,
